,Mar 2018,Jun 2018,Sep 2018,Dec 2018,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020
Sales,"89,929","66,701","71,981","76,916","86,422","61,467","65,432","71,676","62,493","31,983","53,530","75,654"
Expenses,"80,030","62,658","65,854","70,789","78,405","58,609","58,483","64,292","61,806","31,300","47,434","63,524"
Operating Profit,"9,899","4,043","6,127","6,127","8,017","2,858","6,949","7,384",687,683,"6,096","12,130"
OPM,11%,6%,9%,8%,9%,5%,11%,10%,1%,2%,11%,16%
Other Income,75,605,218,"-27,347",189,727,807,909,"-2,232",610,641,292
Interest,"1,178","1,375","1,227","1,568","1,588","1,712","1,835","1,744","1,953","1,877","1,950","2,126"
Depreciation,"6,488","5,857","5,941","6,439","5,353","5,112","5,300","5,199","5,815","5,599","5,601","6,129"
Profit before tax,"2,308","-2,584",-823,"-29,228","1,265","-3,238",621,"1,350","-9,313","-6,184",-815,"4,167"
Tax %,42%,16%,-33%,8%,9%,-6%,72%,-45%,-4%,-36%,58%,23%
Net Profit,"2,125","-1,902","-1,049","-26,993","1,117","-3,698",-217,"1,738","-9,894","-8,438",-314,"2,906"
EPS in Rs,7.36,-6.59,-3.63,-93.49,3.87,-12.81,-0.75,5.63,-32.03,-27.32,-1.02,9.41
Raw PDF,https://www.screener.in//company/source/quarter/3370/03/2018/,https://www.screener.in//company/source/quarter/3370/06/2018/,https://www.screener.in//company/source/quarter/3370/09/2018/,https://www.screener.in//company/source/quarter/3370/12/2018/,https://www.screener.in//company/source/quarter/3370/03/2019/,https://www.screener.in//company/source/quarter/3370/06/2019/,https://www.screener.in//company/source/quarter/3370/09/2019/,https://www.screener.in//company/source/quarter/3370/12/2019/,https://www.screener.in//company/source/quarter/3370/03/2020/,https://www.screener.in//company/source/quarter/3370/06/2020/,https://www.screener.in//company/source/quarter/3370/09/2020/,https://www.screener.in//company/source/quarter/3370/12/2020/
